Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10U","C_1206",164.605500,-90.607400,0.000000,top
"C2","100N","C_0603",169.097000,-86.167400,90.000000,top
"C3","100N","C_0603",149.538500,-97.057400,90.000000,top
"C4","10U","C_1206",151.316500,-82.833400,0.000000,top
"C5","330N","C_0603",160.714500,-100.879400,90.000000,top
"C6","56P","C_0402",145.897500,-93.755400,0.000000,top
"C7","56P","C_0402",146.236500,-101.502400,180.000000,top
"C8","10U","C_1206",164.605500,-88.118200,0.000000,top
"C9","10U","C_1206",164.605500,-85.629000,0.000000,top
"C10","330N","C_0603",157.031500,-90.707400,0.000000,top
"C11","10U","C_1206",151.292500,-85.246400,0.000000,top
"C12","330N","C_0603",162.461000,-100.853400,90.000000,top
"C13","10U","C_1206",120.970500,-87.350400,180.000000,top
"C14","10U","C_1206",151.316500,-87.659400,0.000000,top
"C15","10U","C_1206",153.856500,-105.185400,270.000000,top
"C16","10U","C_1206",148.903500,-105.185400,270.000000,top
"C17","10U","C_1206",120.887500,-106.439400,0.000000,top
"C18","10U","C_1206",151.443500,-105.185400,270.000000,top
"C19","330N","C_0603",158.936500,-100.867400,90.000000,top
"C20","330N","C_0603",157.158500,-100.867400,90.000000,top
"C21","10U","C_1206",120.994500,-89.763400,180.000000,top
"C22","10U","C_1206",120.970500,-84.937400,180.000000,top
"C23","10U","C_1206",120.911500,-104.026400,0.000000,top
"C24","10U","C_1206",120.911500,-108.852400,0.000000,top
"D1","STPS140","D_SMA",151.189500,-90.834400,0.000000,top
"D2","STPS140","D_SMA",152.364500,-100.740400,0.000000,top
"D3","SMAZ10V0","D_SOD-123",171.111000,-102.588400,0.000000,top
"D4","SMAZ15V","D_SOD-123",170.861000,-89.603400,180.000000,top
"D5","Z0109NN5AA4","SOT-223-3_TabPin2",171.211000,-96.253400,270.000000,top
"D6","STPS140","D_SMA",125.975500,-85.395400,270.000000,top
"D7","STPS140","D_SMA",125.975500,-92.983400,270.000000,top
"D8","STPS140","D_SMA",125.975500,-109.017400,270.000000,top
"D9","STPS140","D_SMA",125.975500,-101.651400,270.000000,top
"L1","10U","Sunlord_SWPA6028S",158.555500,-85.881400,0.000000,top
"L2","10U","Sunlord_SWPA6028S",158.555500,-95.533400,90.000000,top
"L3","10U","Sunlord_SWPA6028S",158.555500,-106.292400,270.000000,top
"Q2","Si2323DS","SOT-23",171.725500,-105.874400,270.000000,top
"R1","225K","R_0603_HandSoldering",146.236500,-95.660400,180.000000,top
"R2","15K","R_0603_HandSoldering",149.622500,-93.755400,180.000000,top
"R3","240K","R_0603_HandSoldering",146.236500,-99.724400,0.000000,top
"R4","15K","R_0603_HandSoldering",146.236500,-97.692400,0.000000,top
"R5","100K","R_0402",168.933000,-105.819400,90.000000,top
"R6","220R","R_0402",171.129000,-86.303400,90.000000,top
"R7","4K7","R_0603",160.206500,-90.707400,180.000000,top
"R8","4K7","R_0603",162.961000,-95.353400,270.000000,top
"U1","LT3471","DFN-10-1EP_3x3mm_Pitch0.5mm",152.493000,-96.586400,0.000000,top
"U2","MC78M15_DPAK-3","TO-252-2_Rectifier",135.961000,-86.966400,270.000000,top
"U3","MC79M15_DPAK-3","TO-252-2_Rectifier",135.911000,-107.966400,270.000000,top
